vCPU 8,,,100GB,,vCPU 8,,,200GB,,vCPU 8,,,300GB,,vCPU 8,,,400GB,,vCPU 8,,,500GB,,vCPU 8,,,1000GB,,vCPU 16,,,1000GB
block size,bw in KB,bw in MB,iops,,block size,bw in KB,bw in MB,iops,,block size,bw in KB,bw in MB,iops,,block size,bw in KB,bw in MB,iops,,block size,bw in KB,bw in MB,iops,,block size,bw in KB,bw in MB,iops,,block size,bw in KB,bw in MB,iops
131072,98310,96.00585938,0.750045776,,131072,196436,191.8320313,1.498687744,,131072,248008,242.1953125,1.892150879,,131072,248037,242.2236328,1.892372131,,131072,247978,242.1660156,1.891921997,,131072,248037,242.2236328,1.892372131,,131072,495195,483.5888672,3.778038025
65536,49692,48.52734375,0.758239746,,65536,100462,98.10742188,1.532928467,,65536,169316,165.3476563,2.583557129,,65536,248066,242.2519531,3.785186768,,65536,248066,242.2519531,3.785186768,,65536,248125,242.3095703,3.786087036,,65536,495546,483.9316406,7.561431885
32768,49704,48.5390625,1.516845703,,32768,100559,98.20214844,3.068817139,,32768,152620,149.0429688,4.657592773,,32768,238611,233.0185547,7.281829834,,32768,248125,242.3095703,7.572174072,,32768,248066,242.2519531,7.570373535,,32768,495781,484.1611328,15.1300354
16384,49699,48.53417969,3.03338623,,16384,100569,98.21191406,6.138244629,,16384,152542,148.9667969,9.310424805,,16384,205946,201.1191406,12.56994629,,16384,248037,242.2236328,15.13897705,,16384,248124,242.3085938,15.14428711,,16384,495898,484.2753906,30.26721191
8192,49714,48.54882813,6.068603516,,8192,100608,98.25,12.28125,,8192,152998,149.4121094,18.67651367,,8192,206514,201.6738281,25.20922852,,8192,248094,242.2792969,30.28491211,,8192,248123,242.3076172,30.28845215,,8192,496015,484.3896484,60.54870605
4096,49705,48.54003906,12.13500977,,4096,100545,98.18847656,24.54711914,,4096,152592,149.015625,37.25390625,,4096,206504,201.6640625,50.41601563,,4096,248094,242.2792969,60.56982422,,4096,248168,242.3515625,60.58789063,,4096,495795,484.1748047,121.0437012
2048,49694,48.52929688,24.26464844,,2048,100516,98.16015625,49.08007813,,2048,152804,149.2226563,74.61132813,,2048,206718,201.8730469,100.9365234,,2048,248116,242.3007813,121.1503906,,2048,248109,242.2939453,121.1469727,,2048,493962,482.3847656,241.1923828
1024,49720,48.5546875,48.5546875,,1024,100664,98.3046875,98.3046875,,1024,152967,149.3818359,149.3818359,,1024,206827,201.9794922,201.9794922,,1024,248215,242.3974609,242.3974609,,1024,248168,242.3515625,242.3515625,,1024,494590,482.9980469,482.9980469
512,49726,48.56054688,97.12109375,,512,100487,98.13183594,196.2636719,,512,152758,149.1777344,298.3554688,,512,206054,201.2246094,402.4492188,,512,248239,242.4208984,484.8417969,,512,248163,242.3466797,484.6933594,,512,496366,484.7324219,969.4648438
256,49853,48.68457031,194.7382813,,256,101425,99.04785156,396.1914063,,256,152476,148.9023438,595.609375,,256,208683,203.7919922,815.1679688,,256,248828,242.9960938,971.984375,,256,248358,242.5371094,970.1484375,,256,497023,485.3740234,1941.496094
128,49708,48.54296875,388.34375,,128,100517,98.16113281,785.2890625,,128,152798,149.2167969,1193.734375,,128,206289,201.4541016,1611.632813,,128,248154,242.3378906,1938.703125,,128,248184,242.3671875,1938.9375,,128,496153,484.5244141,3876.195313
64,49691,48.52636719,776.421875,,64,100671,98.31152344,1572.984375,,64,152902,149.3183594,2389.09375,,64,206145,201.3134766,3221.015625,,64,248265,242.4462891,3879.140625,,64,248202,242.3847656,3878.15625,,64,496353,484.7197266,7755.515625
32,49705,48.54003906,1553.28125,,32,100601,98.24316406,3143.78125,,32,152713,149.1337891,4772.28125,,32,206116,201.2851563,6441.125,,32,248181,242.3642578,7755.65625,,32,248184,242.3671875,7755.75,,32,496306,484.6738281,15509.5625
16,49704,48.5390625,3106.5,,16,100683,98.32324219,6292.6875,,16,152645,149.0673828,9540.3125,,16,206052,201.2226563,12878.25,,16,248170,242.3535156,15510.625,,16,248163,242.3466797,15510.1875,,16,496220,484.5898438,31013.75
8,33117,32.34082031,4139.625,,8,66283,64.72949219,8285.375,,8,99837,97.49707031,12479.625,,8,130516,127.4570313,16314.5,,8,133643,130.5107422,16705.375,,8,133459,130.3310547,16682.375,,8,227585,222.2509766,28448.125
4,12032,11.75,3008,,4,24129,23.56347656,6032.25,,4,36287,35.43652344,9071.75,,4,48926,47.77929688,12231.5,,4,60824,59.3984375,15206,,4,60826,59.40039063,15206.5,,4,102387,99.98730469,25596.75
